pdf_id,dept,from_url,pdf_url
14312,Department of Public Health,https://www.cityofchicago.org/city/en/depts/cdph/supp_info/health-protection/current_flu_situationinchicago2011.html,https://www.cityofchicago.org/dam/city/depts/cdph/H1N1_swine_flu/FluUpdate/FluUpdateWeek19_May172013.pdf
18671,Department of Finance,https://www.cityofchicago.org/city/en/depts/fin/supp_info/revenue/tax_form_list/liquor_tax_forms.html,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxForms/2014TaxForms/7573.pdf
18938,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2013_water_and_sewermainprojects/march.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2013construction/03 Mar/20130318_Greenwood_04w.pdf
9203,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2016PreBidPreSubmittalConferenceAttendees.html,https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2016PreBids/PreBid137279.pdf
5032,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2005_september_jobordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2005JOC/2005_SeptemberJOC/7119_7.pdf
6215,Department of Finance,https://www.cityofchicago.org/city/en/depts/fin/supp_info/comprehensive_annualfinancialstatements/2008_financial_statements.html,https://www.cityofchicago.org/dam/city/depts/fin/supp_info/CAFR/2008/CAFR2008.pdf
122,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/provdrs/contract/svcs/current_bid_opportunities.html,https://www.cityofchicago.org/content/dam/city/depts/dps/ContractAdministration/Addendum/2018Addendum/Spec228018Exhibit9AGrant.pdf
6507,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2008_prebid_conferenceattendees-julythrudecember.html,https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2008PreBids/PreBid67504.pdf
16831,Department of Family & Support Services,https://www.cityofchicago.org/city/en/depts/fss/supp_info/2010_domestic_violencehelplinereport.html,https://www.cityofchicago.org/content/dam/city/depts/fss/supp_info/DV/ZIPcodeProfiles07.pdf
23863,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/zba-decision---1987-present.html,https://www.cityofchicago.org/content/dam/city/depts/zlup/Administrative_Reviews_and_Approvals/Publications/ZBAsignedresolutions/1993_04APR_signed_resolutions_OCR.pdf
5199,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2006_january_jobordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2006JOC/2006_JanuaryJOC/9910_1.pdf
24653,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/isupplier/online-training-materials.html,https://www.cityofchicago.org/content/dam/city/depts/dps/isupplier/training/Review_Solicitation_Document.pdf
1043,Department of Streets and Sanitation,https://www.cityofchicago.org/city/en/depts/streets/provdrs/streets_san/svcs/street_sweeping.html,https://www.cityofchicago.org/content/dam/city/depts/streets/supp_info/2017StreetSweepingSchedules/2017maps/sweeping_27s.pdf
1961,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2000_february_bidtabulations.html,https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2000BidTabs/Feb/C570990001.2.23.00.pdf
8387,Department of Finance,https://www.cityofchicago.org/city/en/depts/fin/supp_info/comprehensive_annualfinancialstatements/2013-financial-statements.html,https://www.cityofchicago.org/content/dam/city/depts/fin/supp_info/CAFR/2013/Water2013.pdf
19785,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/realigning-zoning-with-neighborhood-growth.html,https://www.cityofchicago.org/content/dam/city/depts/zlup/Planning_and_Policy/Publications/17.07.20_updated_D_district_map.pdf
11830,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/tif/austin_commercialtif.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/T_156_AustinCommercial_10YR.pdf
22455,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/special_service_areasandproviderlist.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/ssa/2010SSAaudits/ssa33.pdf
21080,Department of Business Affairs and Consumer Protection,https://www.cityofchicago.org/city/en/depts/bacp/supp_info/taxi_industry_notices.html,https://www.cityofchicago.org/content/dam/city/depts/bacp/publicvehicleinfo/taxiindustrynotices/NEWMPEAAirportDepartureTaxStamps090315.pdf
25825,Department of Human Resources,https://www.cityofchicago.org/city/en/depts/dhr/supp_info/Job_Specification_Alpah_Order.html,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/JobSpecName/COORDINATOR_OF_SPECIAL_PROJECTS_0309.pdf
25865,Department of Human Resources,https://www.cityofchicago.org/city/en/depts/dhr/supp_info/Job_Specification_Alpah_Order.html,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/JobSpecName/DIR-OF-EPIDEMIOLOGY_3402.pdf
27114,None,https://www.cityofchicago.org/cityarchives/procurement/auctions/auctionapril302005/trucks821_840.html,https://www.cityofchicago.org/cityarchives/procurement/auctions/auctionapril302005/829.pdf
23600,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/zba-decision---1987-present.html,https://www.cityofchicago.org/content/dam/city/depts/zlup/Administrative_Reviews_and_Approvals/Publications/ZBAsignedresolutions/2015_08AUG_signed_resolutions_OCR.pdf
19937,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2016_water_and_sewer_projects/November2016.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2016construction/nov_2016/20161102_Augusta_Keelers_37w.pdf
18222,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2016_water_and_sewer_projects/July2016.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2016construction/jul_2016/20160725_Wabash_56th_57th_20w.pdf
24333,Board of Ethics,https://www.cityofchicago.org/city/en/depts/ethics/provdrs/reg/svcs/view_other_requireddisclosures1.html,https://www.cityofchicago.org/content/dam/city/depts/ethics/general/Disclosures-Required/JAttarian-08312012-Req.pdf
8374,Office of Budget and Management,https://www.cityofchicago.org/city/en/depts/obm/supp_info/annual-budget-recommendations---documents/2013BudgetHearingOpeningStatements.html,https://www.cityofchicago.org/content/dam/city/depts/obm/supp_info/2013%20Budget/2013BudgetHearingOpeningStatements/Police_OpeningStatements2013.pdf
5557,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/supp_info/2007_august_job_ordercontractsjoc.html,https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2007JOC/2007_AugustJOC/8866_140.pdf
14654,Department of Planning and Development,https://www.cityofchicago.org/city/en/depts/dcd/supp_info/ten-year_tif_districtstatusreports.html,https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/T_102_Montclare_10YR.pdf
21365,Department of Business Affairs and Consumer Protection,https://www.cityofchicago.org/city/en/depts/bacp/supp_info/taxi_industry_notices.html,https://www.cityofchicago.org/dam/city/depts/bacp/publicvehicleinfo/taxiindustrynotices/publicvehiclenotice12-026.pdf
24196,Department of Procurement Services,https://www.cityofchicago.org/city/en/depts/dps/provdrs/cert/supp_info/mbe_wbe_certificationformsanddocuments.html,https://www.cityofchicago.org/content/dam/city/depts/dps/Outreach/Work_Cat_List.pdf
18836,Department of Business Affairs and Consumer Protection,https://www.cityofchicago.org/city/en/depts/bacp/supp_info/livery_owners_information.html,https://www.cityofchicago.org/dam/city/depts/bacp/publicvehicleinfo/liveryowners/chartersightseeingindividualapp12612.pdf
11424,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2013_water_and_sewermainprojects/april.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2013construction/04Apr/20130417_Throop_25w.pdf
24773,Board of Ethics,https://www.cityofchicago.org/city/en/depts/ethics/provdrs/reg/svcs/view_other_requireddisclosures2.html,https://www.cityofchicago.org/content/dam/city/depts/ethics/general/Disclosures-Required/2014/RakestrawK-072514REQ.pdf
19085,Department of Water Management,https://www.cityofchicago.org/city/en/depts/water/supp_info/archived_constructionreports/2017_water_sewer_main_projects/March2017.html,https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2017construction/mar_2017/20170331_Calumet3_03w.pdf
283,Department of Business Affairs and Consumer Protection,https://www.cityofchicago.org/city/en/depts/bacp/sbc/business_licensing.html,https://www.cityofchicago.org/content/dam/city/depts/bacp/Small%20Business%20Center/sbcfactsheets/Debt_Collectors_Fact%20Sheet_11_19_13.pdf
12337,Department of Animal Care and Control,https://www.cityofchicago.org/city/en/depts/cacc/supp_info/cacc_data_statistics.html,https://www.cityofchicago.org/content/dam/city/depts/cacc/PDFiles/OldPDFs/feb_2015_transfers.pdf
7406,None,https://www.cityofchicago.org/city/en/narr/foia/transition_memo.html,https://www.cityofchicago.org/content/dam/city/narr/Transition Reports/InnovationandTechnology.pdf
